Date,Close/Last,Volume,Open,High,Low
09/30/2022,$113,59479590,$114.075,$116.92,$112.84
09/29/2022,$114.8,58969710,$115.6,$116.07,$113.06
09/28/2022,$118.01,55763750,$114.38,$118.7,$113.8
09/27/2022,$114.41,60094690,$117.195,$118.32,$113.05
09/26/2022,$115.15,62723270,$113.295,$117.34,$113.13
09/23/2022,$113.78,65126670,$116,$116.05,$112.06
09/22/2022,$117.31,55229190,$117.08,$118.79,$116.26
09/21/2022,$118.54,58498890,$122.49,$123.76,$118.45
09/20/2022,$122.19,47698430,$123.35,$124.3963,$121.14
09/19/2022,$124.66,47279730,$122.16,$124.71,$121.8
09/16/2022,$123.53,115667800,$122.78,$123.87,$120.7
09/15/2022,$126.28,52887200,$127.38,$130.37,$125.495
09/14/2022,$128.55,45316770,$127.364,$128.84,$126.33
09/13/2022,$126.82,72694010,$131.01,$131.4,$126.27
09/12/2022,$136.45,53826860,$134.095,$136.49,$134
09/09/2022,$133.27,49422260,$130.91,$133.69,$130.76
09/08/2022,$129.82,43988510,$127.72,$130.28,$127.1
09/07/2022,$129.48,47834490,$126.12,$129.82,$125.4
09/06/2022,$126.11,43888590,$127.92,$128.62,$124.74
09/02/2022,$127.51,57429830,$129.5,$131.38,$126.39
09/01/2022,$127.82,56636150,$126,$128.02,$123.66
08/31/2022,$126.77,53648700,$129.45,$130.59,$126.74
08/30/2022,$128.73,49202990,$131.25,$132.0745,$126.85
08/29/2022,$129.79,48101640,$129.9,$131.9499,$128.77
08/26/2022,$130.75,53322660,$136.55,$137.83,$130.5
08/25/2022,$137.28,37496280,$135.26,$137.42,$134.28
08/24/2022,$133.8,38626980,$132.75,$135.47,$132.1
08/23/2022,$133.62,36252100,$133.41,$134.99,$132.95
08/22/2022,$133.22,50461500,$135.72,$136.32,$132.85
08/19/2022,$138.23,47792840,$140.47,$141.11,$137.9142
08/18/2022,$142.3,37458740,$141.32,$142.77,$140.38
08/17/2022,$142.1,48149780,$142.69,$143.38,$140.78
08/16/2022,$144.78,59102860,$143.905,$146.57,$142
08/15/2022,$143.18,39014580,$142.8,$143.76,$141.49
08/12/2022,$143.55,47643480,$142.05,$143.57,$140.1201
08/11/2022,$140.64,44867340,$143.86,$144.49,$139.76
08/10/2022,$142.69,54773820,$142.9,$144.6,$141.01
08/09/2022,$137.83,40434720,$138.052,$138.9523,$136.21
08/08/2022,$139.41,52303480,$142.05,$144.23,$138.29
08/05/2022,$140.8,50686870,$140.1,$142.86,$139.6
08/04/2022,$142.57,70585020,$140.58,$143.56,$139.55
08/03/2022,$139.52,71827780,$136.21,$140.49,$136.05
08/02/2022,$134.16,61922430,$134.72,$137.44,$134.09
08/01/2022,$135.39,76846910,$134.96,$138.8339,$133.51
07/29/2022,$134.95,148892900,$134.9,$137.65,$132.41
07/28/2022,$122.28,82245540,$121.57,$122.84,$118.08
07/27/2022,$120.97,61582020,$117.31,$121.9,$117.16
07/26/2022,$114.81,67075060,$115.79,$118.15,$114.53
07/25/2022,$121.14,50221260,$122.695,$123.64,$120.03
07/22/2022,$122.42,51463800,$125.01,$125.5,$121.3504
07/21/2022,$124.63,60239890,$123.2,$124.85,$121.26
07/20/2022,$122.77,71268320,$118.615,$123.475,$118.32
07/19/2022,$118.21,60990040,$115.7,$118.95,$114.03
07/18/2022,$113.76,59115420,$115,$117.24,$113.15
07/15/2022,$113.55,84317820,$112.5,$115.59,$111.59
07/14/2022,$110.63,51163140,$110.24,$111.18,$107.58
07/13/2022,$110.4,61353810,$107.03,$111.78,$106.01
07/12/2022,$109.22,54280260,$112.16,$113.23,$108.34
07/11/2022,$111.75,53540020,$114.08,$114.3,$110.87
07/08/2022,$115.54,45719690,$114.6,$116.58,$113.69
07/07/2022,$116.33,57872320,$113.85,$116.99,$113.49
