Date,Close/Last,Volume,Open,High,Low
09/30/2022,$118.81,5346108,$121.66,$122.43,$118.61
09/29/2022,$121.63,3817723,$121.85,$122.62,$120.57
09/28/2022,$122.76,4996378,$121.65,$123.23,$119.81
09/27/2022,$121.74,4117215,$122.6,$123.95,$121.08
09/26/2022,$122.01,3987817,$122.3,$124.26,$121.75
09/23/2022,$122.71,5195693,$124.53,$125,$121.74
09/22/2022,$125.31,4046748,$124.76,$126.51,$124.41
09/21/2022,$124.93,3389545,$126.89,$127.84,$124.92
09/20/2022,$126.3,2837485,$126.9,$126.99,$125.52
09/19/2022,$127.73,3981606,$126.49,$128.06,$126.28
09/16/2022,$127.27,9839696,$124.36,$127.53,$123.83
09/15/2022,$125.49,5141671,$127.39,$127.465,$124.9
09/14/2022,$127.69,3819067,$127.5,$129,$126.845
09/13/2022,$127.25,4565585,$129.14,$129.909,$126.7709
09/12/2022,$130.66,3741168,$130.33,$130.99,$129.89
09/09/2022,$129.19,3293365,$128.9,$129.49,$128.06
09/08/2022,$128.47,2964613,$127.2,$128.54,$126.59
09/07/2022,$127.71,2401513,$126.69,$127.8667,$126.28
09/06/2022,$126.72,3347108,$127.8,$128.06,$126.3
09/02/2022,$127.79,3040813,$130.3,$130.56,$127.24
09/01/2022,$129.66,3396219,$128.4,$129.8173,$127.74
08/31/2022,$128.45,3490380,$129.92,$130,$128.4
08/30/2022,$129.58,2407888,$130.56,$130.77,$129.29
08/29/2022,$130.31,2782973,$129.99,$131.42,$129.57
08/26/2022,$130.38,4185254,$134.1,$134.18,$130.34
08/25/2022,$133.98,2706005,$133.65,$134.425,$133.07
08/24/2022,$133.23,2855421,$134.89,$135.11,$133.11
08/23/2022,$134.74,4141798,$135.37,$136.1,$134.72
08/22/2022,$135.55,3093629,$137.65,$137.85,$135.47
08/19/2022,$138.37,3155842,$138.75,$139.34,$137.66
08/18/2022,$139.07,3177726,$137.79,$139.12,$137.75
08/17/2022,$137.79,3667568,$136.46,$138.415,$136.3
08/16/2022,$136.56,4313600,$134.6,$137.37,$134.4517
08/15/2022,$134.93,2791241,$132.96,$135.19,$132.24
08/12/2022,$134.01,2767054,$132.62,$134.09,$131.98
08/11/2022,$132.54,3501925,$132.36,$133.225,$132
08/10/2022,$131.5,3663995,$130.75,$131.78,$130.34
08/09/2022,$129.47,3495991,$129.92,$130.79,$129.12
08/08/2022,$132.61,3825145,$133.1,$133.35,$132.02
08/05/2022,$132.48,2586519,$131.25,$132.67,$131.07
08/04/2022,$131.64,3179789,$132.15,$132.2866,$131.02
08/03/2022,$132.34,3088532,$131.82,$132.862,$131.32
08/02/2022,$131.81,4403633,$132.2,$132.78,$130.51
08/01/2022,$132.04,4142099,$130.75,$132.7,$130.7
07/29/2022,$130.79,5786815,$129.52,$131,$129.31
07/28/2022,$129.22,3913680,$128.75,$129.81,$128.606
07/27/2022,$129.12,4175625,$127.97,$129.43,$127.58
07/26/2022,$128.08,3645313,$128.26,$129.3,$127.63
07/25/2022,$128.54,4702352,$128.44,$129.1257,$127.9
07/22/2022,$128.25,6467205,$127.03,$128.32,$125.71
07/21/2022,$127.15,11975360,$128.75,$128.81,$125.13
07/20/2022,$129.18,9882016,$130.7,$130.72,$128.06
07/19/2022,$130.88,29690540,$131.58,$132.56,$127.72
07/18/2022,$138.13,8231694,$140.15,$140.31,$137.7844
07/15/2022,$139.92,4519320,$140.68,$140.68,$138.61
07/14/2022,$139.06,5298351,$135.6,$139.43,$135.02
07/13/2022,$137.18,4123213,$137.18,$138.9,$136.8
07/12/2022,$139.18,3235571,$140.84,$141.55,$138.565
07/11/2022,$141,3912773,$140.62,$141.87,$140.13
07/08/2022,$140.47,2820928,$140.76,$141.3203,$139.82
07/07/2022,$140.83,3897077,$138.91,$141.325,$138.83
07/06/2022,$138.08,3237059,$138,$139.14,$137.13
07/05/2022,$137.62,6274067,$139.97,$139.97,$135.27
07/01/2022,$141.12,4012106,$141,$141.67,$139.26
06/30/2022,$141.19,4878020,$139.58,$142.46,$139.28
06/29/2022,$140.71,4161491,$142.74,$143.5213,$139.5
06/28/2022,$141.86,4065202,$142.92,$144.155,$141.32
06/27/2022,$142.8,3935968,$142.26,$143.83,$141.95
06/24/2022,$142.06,11493010,$139.2,$142.37,$139.13
06/23/2022,$138.44,4547925,$137.14,$138.62,$136.5
06/22/2022,$137.08,3791635,$136.1,$138.18,$136.03
06/21/2022,$137.85,4089272,$135.9,$138.5,$135.9
06/17/2022,$135.02,12968510,$135.99,$136.98,$132.85
06/16/2022,$135.67,5386396,$135.3,$136.24,$134.39
06/15/2022,$137.06,4606887,$136.01,$138.45,$135.58
06/14/2022,$135.72,4607785,$135,$136.9501,$134.86
06/13/2022,$135.11,6486044,$133.97,$137.57,$133.76
06/10/2022,$136.19,4661716,$137.8,$137.8,$135.25
06/09/2022,$137.96,3592551,$140.15,$141.04,$137.93
06/08/2022,$140.83,3005666,$142.07,$142.8,$140.15
06/07/2022,$142.78,2887051,$142.6,$142.98,$140.96
06/06/2022,$142.88,4767100,$142.98,$144.73,$142
06/03/2022,$141.18,4352213,$140.26,$142.5794,$139.74
06/02/2022,$140.15,3734812,$139.45,$140.29,$136.85
06/01/2022,$139.43,3796488,$139.67,$140.4699,$138.52
05/31/2022,$138.84,7978053,$138.2,$139.83,$136.81
05/27/2022,$139.27,4608215,$137.39,$139.7394,$137.24
05/26/2022,$136.89,3929338,$135,$137.55,$134.52
05/25/2022,$134.39,3299303,$132.86,$134.82,$132.86
05/24/2022,$133.8,4189723,$130.57,$134.37,$130.42
05/23/2022,$131.17,3591511,$129.5,$131.95,$129.42
05/20/2022,$128.48,6914458,$130.18,$130.37,$125.8
05/19/2022,$129.66,5819664,$132,$132.32,$128.71
05/18/2022,$132.94,6003015,$137.1,$137.615,$132.17
05/17/2022,$138.37,4372909,$137.19,$138.37,$135.64
05/16/2022,$135.03,4250395,$133.1,$136.51,$132.41
05/13/2022,$133.6,4195218,$133,$133.8,$131.05
05/12/2022,$132.9,5384809,$131.27,$133.62,$130.41
05/11/2022,$130.75,5301131,$129.86,$132.96,$129.86
05/10/2022,$129.13,8642398,$135,$135.41,$128.43
05/09/2022,$134.44,7647933,$134.41,$136.345,$133.315
05/06/2022,$137.67,7306396,$135.47,$137.99,$135.47
05/05/2022,$135.92,5957434,$136.46,$137.26,$134.76
05/04/2022,$137.4,5932574,$132.87,$137.87,$132.14
05/03/2022,$132.52,3688574,$133,$133.6,$131.99
05/02/2022,$133.04,4213477,$133,$133.77,$130.89
04/29/2022,$132.21,5078660,$135.13,$135.5545,$132
04/28/2022,$135.74,4477068,$136.85,$136.99,$134.81
04/27/2022,$135.06,4369052,$135.78,$137.12,$134.63
04/26/2022,$136.19,4956236,$139,$139.87,$136.17
04/25/2022,$139.1,5748289,$137.59,$139.65,$135.19
04/22/2022,$138.25,6508599,$139.7,$140.4399,$137.35
04/21/2022,$139.85,9922349,$138.23,$141.88,$137.35
04/20/2022,$138.32,17859160,$135,$139.56,$133.38
04/19/2022,$129.15,7971361,$126.08,$129.4,$126
04/18/2022,$126.17,4884150,$126.6,$127.3899,$125.53
04/14/2022,$126.56,6384180,$128.93,$130.58,$126.38
04/13/2022,$126.14,3064918,$125.64,$126.67,$124.91
04/12/2022,$125.98,2690998,$126.42,$127.34,$125.5835
04/11/2022,$126.37,3202545,$127.95,$128.175,$126.18
04/08/2022,$127.73,3143309,$128.01,$128.78,$127.27
04/07/2022,$128.55,3538317,$128.87,$129.2499,$126.73
04/06/2022,$129.39,3958057,$127.78,$129.515,$127.25
04/05/2022,$128.89,3107181,$129.85,$131.23,$128.66
04/04/2022,$130.27,2811100,$130.26,$130.45,$128.93
04/01/2022,$130.15,4012373,$129.66,$130.27,$128.06
03/31/2022,$130.02,4274029,$130.72,$131.88,$130
03/30/2022,$132.13,2622860,$132.01,$133.08,$131.39
03/29/2022,$131.94,5791032,$132.04,$132.84,$130.43
03/28/2022,$131.47,2483492,$130.82,$131.5,$129.6
03/25/2022,$131.35,3531746,$129.5,$131.4,$129.31
03/24/2022,$129.25,2971075,$128.33,$129.37,$127.8
03/23/2022,$128.3,2924535,$129.08,$129.32,$128.25
03/22/2022,$129.06,2690193,$128.5,$129.3,$127.85
03/21/2022,$128.1,3384636,$129,$129.74,$127.4
03/18/2022,$128.76,7466026,$127.38,$128.93,$126.37
03/17/2022,$127.96,3671903,$127.1,$128.29,$126.53
03/16/2022,$127.04,4292845,$126.5,$127.2842,$124.71
03/15/2022,$125.64,4021228,$124,$125.9398,$123.22
03/14/2022,$123.94,3289440,$124.45,$125.16,$122.685
03/11/2022,$123.96,4119630,$125,$126.77,$123.91
03/10/2022,$124.35,5326835,$125.75,$126.03,$123.125
03/09/2022,$126.22,4403499,$127.41,$128.1,$125.91
03/08/2022,$125.68,4887565,$126.62,$128.345,$124.82
03/07/2022,$126.07,5047358,$126.47,$127.905,$125.62
03/04/2022,$126.62,4402911,$124.4,$127.35,$124.2103
03/03/2022,$125.93,5206649,$124.96,$126.665,$124.2351
03/02/2022,$123.86,4891435,$122.59,$124.64,$121.8
03/01/2022,$121.35,4873331,$122.67,$123.39,$120.7
02/28/2022,$122.51,6757332,$122.21,$123.3851,$121.0388
02/25/2022,$124.18,4460904,$122.05,$124.2625,$121.45
